id,task_type,prompt,quality_level,quality_score,grade,hallucination_risk,clarity,specificity,structure,constraints,decisions
103939,other,"Role: UX researcher conducting education user interviews.

Task: Design and execute user research study for education product.

Instructions:
1. Recruitment screener
2. Interview protocol
3. Affinity mapping
4. Journey mapping

Constraints:
- 8-12 participants
- 60-minute sessions
- Incentive management

Output Format: Research plan and findings report.

Ref: 9965-EDU",high,86,B,0.39,5,5,4,5,Assumptions documented | No deadline specified
103940,video,"video needed asap finance

Company: Horizon Labs
Audience: developers
Ref: 3654-FIN",low,41,F,0.13,3,2,2,1,Missing data source | Ambiguous target audience | No escalation path | Missing examples
103941,image,"image request: retail focus area. Should explain concepts clearly with supporting data. Around 5-10 pages/slides.

Company: Nexus Group
Timeline: ASAP
Ref: 2993-RET",medium,74,C,0.5,3,4,2,3,Assumptions documented | Inconsistent terminology
103942,report,"Role: Risk analyst for hospitality operations.

Task: Compile comprehensive risk assessment report.

Instructions:
1. Risk identification matrix
2. Probability and impact scoring
3. Mitigation strategies
4. Monitoring procedures

Constraints:
- Industry standard frameworks
- Quantitative analysis
- Board-ready format

Output Format: PDF with risk heat maps and action plans.

Company: Nexus Group
Ref: 5027-HOS",high,98,A,0.27,4,5,5,5,Strong constraints provided | No fallback options | Actionable instructions | Lacks prioritization | Scope clearly defined
103943,other,"Need assistance with other for agriculture client. Key points to cover: overview, benefits, implementation. Thanks!

Platform: Docker
Ref: 9906-AGR",medium,76,C,0.58,4,3,2,3,No accessibility considerations | Professional tone maintained | Missing glossary | Lacks formatting guidance | Technical requirements clear
103944,video,"video education help

Ref: 6153-EDU",low,50,F,0.24,3,2,2,1,Inconsistent terminology | Clear role definition | Missing examples | Lacks formatting guidance
103945,other,"other needed asap technology

Product: journalism tool
Timeline: Q3 2024
Platform: Kafka
Ref: 9204-TEC",low,31,F,0.23,1,1,2,2,Feedback mechanism included | Stakeholders identified | Lacks prioritization | Assumptions documented
103946,email,"do a email about journalism things

Company: Synergy Works
Audience: sales team
Timeline: next quarter
Ref: 7987-JOU",low,45,F,0.23,2,1,1,2,Assumptions documented | Scope clearly defined
103947,other,"Need assistance with other for automotive client. Key points to cover: overview, benefits, implementation. Thanks!

Product: agriculture system
Platform: Rust
Ref: 2759-AUT",medium,81,B,0.59,4,3,2,4,Dependencies outlined | Missing data source | Professional tone maintained | Compliance requirements listed
103948,creative,"Task: creative for healthcare project

Requirements:
- Cover basics
- Include visuals
- Make it engaging

Deadline is next week.

Company: Global Solutions
Product: consulting tool
Ref: 5483-HEA",medium,69,D,0.34,3,2,4,3,Missing glossary | Timeline specified | Vague objective statement
103949,data_analysis,"Task: data_analysis for research project

Requirements:
- Cover basics
- Include visuals
- Make it engaging

Deadline is next week.

Timeline: weekly
Platform: Go
Ref: 5390-RES",medium,73,C,0.3,2,3,2,4,Professional tone maintained | Specific deliverables mentioned | Measurable outcomes stated | Ambiguous target audience | Timeline specified
103950,other,"create something for retail using other

Company: Acme Corp
Ref: 8666-RET",low,30,F,0.25,1,1,2,1,Vague objective statement | Specific deliverables mentioned | Inconsistent terminology
103951,post,"Role: Community manager for manufacturing forum.

Task: Create discussion prompts for manufacturing professional community.

Instructions:
1. Weekly discussion topics
2. AMA (Ask Me Anything) formats
3. Poll questions
4. Resource sharing posts

Constraints:
- Inclusive language
- Moderation guidelines
- Growth-focused content

Output Format: Content plan with engagement metrics.

Company: Acme Corp
Audience: marketing team
Timeline: by end of year
Ref: 1511-MAN",high,96,A,0.32,4,5,5,5,Missing glossary | No quality standards
103952,creative,"Working on a creative for finance team. Needs to be informative but not too technical. Include actionable items.

Company: TechStart
Product: finance tool
Audience: stakeholders
Ref: 2847-FIN",medium,72,C,0.56,2,3,4,4,Lacks formatting guidance | No escalation path
103953,video,"Role: Motion graphics designer for manufacturing presentations.

Task: Create animated explainer video about manufacturing processes.

Instructions:
1. Write 90-second script
2. Design custom illustrations
3. Animate with smooth transitions
4. Add professional voiceover

Constraints:
- After Effects project
- 1080p resolution
- Brand-consistent animation style

Output Format: AE project files with rendered video.

Company: TechStart
Audience: employees
Ref: 4897-MAN",high,94,A,0.13,4,5,5,5,Success metrics defined | Dependencies outlined | Lacks formatting guidance
103954,email,"make email for work research

Company: Acme Corp
Product: biotech framework
Ref: 6089-RES",low,61,D,0.82,3,2,1,2,No fallback options | Scope clearly defined | Measurable outcomes stated | Missing examples
103955,presentation,"presentation request: banking focus area. Should explain concepts clearly with supporting data. Around 5-10 pages/slides.

Product: pharmaceutical system
Ref: 2574-BAN",medium,84,B,0.59,4,3,3,4,Version control noted | Unclear ownership | Missing examples | Missing budget context | No review process
103956,presentation,"Looking for a presentation about entertainment trends. Should have introduction, main content, and conclusion. Professional tone preferred.

Ref: 8080-ENT",medium,74,C,0.58,2,3,3,4,Scope clearly defined | Ambiguous target audience | Missing data source | Technical requirements clear
103957,image,"Create a image about telecommunications. Include some best practices and make it professional. Should be useful for a team meeting.

Company: Innovate Inc
Product: retail interface
Ref: 7930-TEL",medium,76,C,0.31,4,4,2,4,Version control noted | Lacks prioritization | Unclear ownership | No accessibility considerations
103958,code,"Looking for a code about sports trends. Should have introduction, main content, and conclusion. Professional tone preferred.

Company: Nexus Group
Product: manufacturing service
Audience: marketing team
Ref: 7413-SPO",medium,67,D,0.39,3,2,3,2,Stakeholders identified | No escalation path | No accessibility considerations | Dependencies outlined
103959,post,"Role: Twitter/X content creator for legal influencer.

Task: Develop 30-day tweet thread series on legal insights.

Instructions:
1. Educational thread hooks
2. Data-driven arguments
3. Engagement questions
4. Visual asset coordination

Constraints:
- Character limits respected
- Consistent posting times
- Community engagement plan

Output Format: Spreadsheet with scheduled tweets and media links.

Ref: 2549-LEG",high,86,B,0.79,4,5,5,4,Well-structured sections | Specific deliverables mentioned | Feedback mechanism included
103960,report,"Create a report about nonprofit. Include some best practices and make it professional. Should be useful for a team meeting.

Ref: 6355-NON",medium,76,C,0.53,2,3,3,3,No accessibility considerations | Missing data source
103961,presentation,"Looking for a presentation about research trends. Should have introduction, main content, and conclusion. Professional tone preferred.

Company: Quantum Dynamics
Product: nonprofit product
Audience: customers
Ref: 6024-RES",medium,71,C,0.51,3,3,3,2,Professional tone maintained | Strong constraints provided | Timeline specified | Success metrics defined
103962,image,"Help me create a image focused on healthcare. It needs to be clear and organized. Target audience is managers.

Audience: customers
Ref: 8920-HEA",medium,68,D,0.4,2,3,2,4,Comprehensive context provided | Missing examples
103963,code,"Need assistance with code for manufacturing client. Key points to cover: overview, benefits, implementation. Thanks!

Company: Nexus Group
Audience: managers
Timeline: monthly
Ref: 4011-MAN",medium,72,C,0.38,3,2,3,4,Lacks success criteria | Version control noted | Specific deliverables mentioned | Professional tone maintained
103964,report,"Role: Risk analyst for agriculture operations.

Task: Compile comprehensive risk assessment report.

Instructions:
1. Risk identification matrix
2. Probability and impact scoring
3. Mitigation strategies
4. Monitoring procedures

Constraints:
- Industry standard frameworks
- Quantitative analysis
- Board-ready format

Output Format: PDF with risk heat maps and action plans.

Company: Peak Performance
Product: government suite
Ref: 9909-AGR",high,94,A,0.86,4,5,4,5,Detailed methodology included | Output format specified | Version control noted | Clear role definition
103965,email,"I need a email for sports purposes. It should cover the main points and be around medium length. Please include examples if possible.

Ref: 2590-SPO",medium,83,B,0.48,4,2,4,2,Lacks success criteria | Vague objective statement | Missing glossary | Measurable outcomes stated | Incomplete background info
103966,post,"Role: Social media manager for consulting brand.

Task: Create LinkedIn content calendar for consulting thought leadership.

Instructions:
1. 20 posts mixing formats (text, image, video, poll)
2. Industry trend commentary
3. Employee spotlight series
4. Engagement strategies

Constraints:
- Posting schedule (3x weekly)
- Brand voice guidelines
- Hashtag research included

Output Format: Content calendar spreadsheet with post copy.

Ref: 1979-CON",high,94,A,0.25,5,4,5,4,Vague objective statement | No risk assessment
103967,code,"Role: Experienced software architect in manufacturing systems.

Task: Design and implement a RESTful API using FastAPI for managing user authentication and authorization.

Instructions:
1. Implement JWT token-based authentication
2. Include role-based access control (RBAC)
3. Add rate limiting (100 requests/minute)
4. Provide OpenAPI documentation

Constraints:
- Async/await patterns required
- SQLAlchemy for ORM
- Docker containerization

Output Format: Complete project structure with main.py, models.py, schemas.py, and Dockerfile.

Product: sports product
Audience: investors
Timeline: by end of year
Ref: 5719-MAN",high,93,A,0.31,4,5,4,5,Professional tone maintained | Measurable outcomes stated
103968,report,"Role: Competitive intelligence analyst in consulting sector.

Task: Create competitive landscape analysis report.

Instructions:
1. Market share data
2. Competitor SWOT analysis
3. Pricing comparison
4. Strategic recommendations

Constraints:
- Primary and secondary research
- Confidential handling
- Quarterly updates

Output Format: PowerPoint with supporting Excel data.

Ref: 3183-CON",high,96,A,0.18,4,4,4,4,Success metrics defined | Missing glossary | No risk assessment | Technical requirements clear | No accessibility considerations
103969,creative,"Role: Advertising copywriter for education campaign.

Task: Create tagline and campaign concepts for education brand refresh.

Instructions:
1. 10 tagline options
2. Campaign big idea
3. Multi-channel adaptations
4. Tone and voice guidelines

Constraints:
- Memorable and distinctive
- Trademark clearance
- Global appeal

Output Format: Creative brief with concept boards.

Company: Pinnacle Co
Timeline: FY2024
Ref: 8660-EDU",high,89,B,0.16,4,4,4,5,Clear role definition | Dependencies outlined | Technical requirements clear | Ambiguous target audience | Strong constraints provided
103970,image,"Looking for a image about e-commerce trends. Should have introduction, main content, and conclusion. Professional tone preferred.

Company: Vertex Industries
Product: finance dashboard
Audience: sales team
Ref: 9545-E-C",medium,66,D,0.53,2,2,3,4,Actionable instructions | Lacks success criteria | Comprehensive context provided | Unclear ownership
103971,presentation,"Create presentation content for legal use case. Structure: problem, solution, results. Make it persuasive.

Product: agriculture tool
Ref: 8672-LEG",medium,67,D,0.37,3,2,2,2,Scope clearly defined | Missing examples | Lacks formatting guidance | No quality standards
103972,presentation,"make presentation for work real estate

Ref: 7711-REA",low,31,F,0.7,1,1,2,2,Stakeholders identified | Clear role definition | Missing budget context | No risk assessment
103973,code,"Role: Senior JavaScript developer specializing in telecommunications frontend systems.

Task: Build a React component library for data visualization dashboards.

Instructions:
1. Create reusable chart components (line, bar, pie)
2. Implement responsive design with Tailwind CSS
3. Add Storybook documentation
4. Include unit tests with Jest

Constraints:
- TypeScript required
- Accessibility (WCAG 2.1 AA)
- Bundle size <200KB

Output Format: Component files with props interfaces and test files.

Audience: executives
Timeline: annual
Ref: 9722-TEL",high,96,A,0.13,4,5,4,5,Stakeholders identified | Clear role definition
103974,presentation,"need presentation for pharmaceutical stuff

Product: energy application
Ref: 3582-PHA",low,29,F,0.15,3,2,2,1,Technical requirements clear | Specific deliverables mentioned | Compliance requirements listed | Missing glossary | Clear role definition
103975,post,"Need assistance with post for agriculture client. Key points to cover: overview, benefits, implementation. Thanks!

Audience: board members
Ref: 4313-AGR",medium,72,C,0.43,2,4,2,4,No risk assessment | Scope clearly defined | Measurable outcomes stated | Comprehensive context provided
103976,other,"Need assistance with other for manufacturing client. Key points to cover: overview, benefits, implementation. Thanks!

Audience: employees
Platform: Node.js
Ref: 6344-MAN",medium,70,C,0.33,3,4,3,2,Comprehensive context provided | Version control noted | Missing data source | Measurable outcomes stated
103977,other,"Role: Training developer for e-commerce certification.

Task: Design certification program curriculum for e-commerce professionals.

Instructions:
1. Learning objectives
2. Module structure (10 modules)
3. Assessment design
4. Practical exercises

Constraints:
- Industry accreditation
- Blended learning
- Completion tracking

Output Format: Curriculum guide with LMS upload.

Product: healthcare module
Ref: 6887-E-C",high,98,A,0.59,5,5,5,4,Comprehensive context provided | Lacks success criteria
103978,document,"Role: Grant writer for government nonprofit.

Task: Write compelling grant proposal for government initiative funding.

Instructions:
1. Executive summary
2. Statement of need
3. Project description and goals
4. Budget justification

Constraints:
- Funder-specific format
- Measurable outcomes
- Sustainability plan

Output Format: PDF proposal with supporting attachments.

Product: automotive portal
Audience: partners
Ref: 6006-GOV",high,87,B,0.83,4,4,5,5,Feedback mechanism included | Reference materials cited | Scope clearly defined | Technical requirements clear
103979,data_analysis,"data_analysis journalism help

Ref: 5062-JOU",low,28,F,0.14,1,1,2,1,No risk assessment | Vague objective statement | Specific deliverables mentioned
103980,presentation,"Help me create a presentation focused on e-commerce. It needs to be clear and organized. Target audience is managers.

Product: nonprofit application
Ref: 1680-E-C",medium,78,C,0.44,2,2,3,3,Comprehensive context provided | Compliance requirements listed
103981,presentation,"Develop a presentation about banking strategy. Include market analysis and recommendations. Business audience.

Company: Synergy Works
Ref: 6936-BAN",medium,75,C,0.53,2,2,2,4,Lacks success criteria | Measurable outcomes stated | Incomplete background info | Actionable instructions
103982,video,"Task: video for automotive project

Requirements:
- Cover basics
- Include visuals
- Make it engaging

Deadline is next week.

Product: energy application
Audience: managers
Ref: 3066-AUT",medium,65,D,0.47,3,2,2,4,Compliance requirements listed | Lacks formatting guidance | Incomplete background info | Dependencies outlined
103983,creative,"Role: Poet commissioned for transportation anthology.

Task: Write collection of 10 poems exploring transportation themes.

Instructions:
1. Varied forms (sonnet, free verse, haiku)
2. Metaphorical language
3. Emotional resonance
4. Thematic connections

Constraints:
- Original imagery
- Consistent voice
- Publication-ready

Output Format: Manuscript with author notes.

Product: legal system
Timeline: Q1 2024
Ref: 5337-TRA",high,96,A,0.19,4,4,4,4,Ambiguous target audience | Lacks prioritization | Vague objective statement | Success metrics defined | Dependencies outlined
103984,report,"Role: Competitive intelligence analyst in entertainment sector.

Task: Create competitive landscape analysis report.

Instructions:
1. Market share data
2. Competitor SWOT analysis
3. Pricing comparison
4. Strategic recommendations

Constraints:
- Primary and secondary research
- Confidential handling
- Quarterly updates

Output Format: PowerPoint with supporting Excel data.

Timeline: monthly
Ref: 4211-ENT",high,90,A,0.1,5,5,5,5,Professional tone maintained | No risk assessment
103985,other,"make a other about cybersecurity

Company: Nexus Group
Platform: Redis
Ref: 3767-CYB",low,21,F,0.26,2,1,1,2,Lacks prioritization | Actionable instructions | Success metrics defined | Lacks success criteria
103986,creative,"create something for finance using creative

Ref: 7297-FIN",low,40,F,0.8,1,1,1,2,Lacks formatting guidance | No escalation path
103987,presentation,"Working on a presentation for automotive team. Needs to be informative but not too technical. Include actionable items.

Company: Horizon Labs
Product: banking dashboard
Ref: 9440-AUT",medium,65,D,0.37,2,3,2,2,Assumptions documented | Stakeholders identified
103988,other,"Help me create a other focused on transportation. It needs to be clear and organized. Target audience is managers.

Product: entertainment platform
Ref: 2014-TRA",medium,66,D,0.52,4,3,3,3,No fallback options | Specific deliverables mentioned
103989,data_analysis,"need data_analysis for retail stuff

Platform: Azure
Ref: 3297-RET",low,36,F,0.19,2,2,2,2,Missing data source | Lacks success criteria | Assumptions documented
103990,presentation,"Create a presentation about biotech. Include some best practices and make it professional. Should be useful for a team meeting.

Company: Global Solutions
Ref: 2562-BIO",medium,79,C,0.44,2,2,4,4,Output format specified | Lacks prioritization | Missing data source | Inconsistent terminology | No deadline specified
103991,data_analysis,"Role: Business intelligence analyst for cybersecurity sales.

Task: Build sales forecasting model for cybersecurity quarterly planning.

Instructions:
1. Historical data analysis
2. Seasonal decomposition
3. Machine learning model
4. Confidence intervals

Constraints:
- 95% accuracy target
- Real-time updating
- Stakeholder presentation

Output Format: Python script with PowerPoint results.

Ref: 8557-CYB",high,97,A,0.69,5,4,5,4,No deadline specified | Success metrics defined | Missing data source | Missing budget context | Version control noted
103992,document,"do a document about cybersecurity things

Audience: stakeholders
Ref: 7719-CYB",low,30,F,0.79,3,1,2,1,Technical requirements clear | Lacks prioritization | Measurable outcomes stated | Missing data source | Unclear ownership
103993,creative,"Create a creative about education. Include some best practices and make it professional. Should be useful for a team meeting.

Audience: administrators
Ref: 3754-EDU",medium,79,C,0.44,3,3,3,4,Assumptions documented | Comprehensive context provided | Lacks success criteria | Version control noted | Output format specified
103994,presentation,"make a presentation about e-commerce

Timeline: Q3 2024
Ref: 4590-E-C",low,63,D,0.14,3,1,2,1,Measurable outcomes stated | Detailed methodology included | Lacks formatting guidance | No deadline specified | Actionable instructions
103995,data_analysis,"Role: Data scientist analyzing marketing customer behavior.

Task: Perform cohort analysis on marketing user retention data.

Instructions:
1. Define cohort segments
2. Calculate retention rates
3. Identify churn patterns
4. Predictive modeling

Constraints:
- SQL and Python required
- Statistical significance testing
- Visualization in Tableau

Output Format: Jupyter notebook with executive summary.

Ref: 5540-MAR",high,96,A,0.39,4,5,4,5,Vague objective statement | Missing examples | Technical requirements clear
103996,code,"Create a code about biotech. Include some best practices and make it professional. Should be useful for a team meeting.

Ref: 4891-BIO",medium,81,B,0.39,3,3,4,2,Missing examples | Professional tone maintained | No fallback options
103997,image,"Role: UI/UX designer for nonprofit applications.

Task: Design a mobile app onboarding flow with 5 screens.

Instructions:
1. Create wireframes first, then high-fidelity mockups
2. Include progress indicators
3. Design for iOS and Android
4. Add micro-interaction specifications

Constraints:
- Follow Material Design 3 guidelines
- Accessible color contrast (4.5:1 minimum)
- Figma deliverables

Output Format: Figma file link with component library.

Audience: managers
Ref: 7003-NON",high,86,B,0.54,4,4,4,5,Lacks prioritization | Vague objective statement
103998,code,"Role: You are a senior Python developer specializing in banking applications.

Task: Create a robust data processing pipeline that ingests CSV files, performs validation, and outputs cleaned data to a PostgreSQL database.

Instructions:
1. Implement error handling for malformed data
2. Use pandas for data manipulation
3. Include logging at each stage
4. Write unit tests with pytest

Constraints:
- Maximum memory usage: 2GB
- Processing time: <5 minutes for 1M rows
- Python 3.9+ compatible

Output Format: Complete Python module with docstrings and type hints.

Product: aerospace dashboard
Audience: analysts
Ref: 8165-BAN",high,95,A,0.64,5,5,5,5,Clear role definition | Vague objective statement | Lacks prioritization | Technical requirements clear | Measurable outcomes stated
103999,document,"Help me create a document focused on government. It needs to be clear and organized. Target audience is managers.

Company: Pinnacle Co
Ref: 9380-GOV",medium,82,B,0.39,3,4,3,4,Incomplete background info | No fallback options | Technical requirements clear | Lacks success criteria | No risk assessment
104000,other,"Create other content for sports use case. Structure: problem, solution, results. Make it persuasive.

Company: Pinnacle Co
Timeline: by end of year
Ref: 3937-SPO",medium,82,B,0.54,2,3,4,2,Feedback mechanism included | Compliance requirements listed
104001,presentation,"Role: HR director presenting manufacturing company updates.

Task: Create quarterly all-hands meeting presentation.

Instructions:
1. Company performance metrics
2. Department highlights
3. New initiative announcements
4. Q&A preparation

Constraints:
- Engaging and positive tone
- Transparent about challenges
- Interactive elements

Output Format: PowerPoint with embedded polls and feedback forms.

Company: Synergy Works
Timeline: annual
Ref: 7752-MAN",high,87,B,0.2,5,4,4,4,Timeline specified | Scope clearly defined
104002,creative,"Role: Game narrative designer for telecommunications simulation game.

Task: Develop branching storyline with 5 endings for telecommunications tycoon game.

Instructions:
1. Character backstories
2. Decision trees
3. Dialogue scripts
4. World-building lore

Constraints:
- Player agency emphasis
- Meaningful choices
- Localization-ready

Output Format: Narrative design document with flowcharts.

Product: entertainment tool
Audience: stakeholders
Ref: 3000-TEL",high,89,B,0.15,4,5,4,4,No quality standards | Missing data source | Missing budget context
104003,presentation,"make presentation for work government

Product: nonprofit system
Timeline: by end of year
Ref: 4809-GOV",low,21,F,0.66,3,1,2,1,Missing budget context | No escalation path | Ambiguous target audience | Reference materials cited
104004,code,"Help me create a code focused on nonprofit. It needs to be clear and organized. Target audience is managers.

Timeline: ASAP
Ref: 4621-NON",medium,83,B,0.58,3,3,3,2,No accessibility considerations | Incomplete background info | Unclear ownership
104005,video,"Develop a video about pharmaceutical strategy. Include market analysis and recommendations. Business audience.

Audience: stakeholders
Ref: 8249-PHA",medium,76,C,0.37,3,2,2,4,Lacks success criteria | Missing budget context
104006,document,"Role: Grant writer for retail nonprofit.

Task: Write compelling grant proposal for retail initiative funding.

Instructions:
1. Executive summary
2. Statement of need
3. Project description and goals
4. Budget justification

Constraints:
- Funder-specific format
- Measurable outcomes
- Sustainability plan

Output Format: PDF proposal with supporting attachments.

Product: insurance service
Ref: 2142-RET",high,88,B,0.27,5,5,5,5,No escalation path | Inconsistent terminology | Measurable outcomes stated
104007,code,"Role: Backend engineer focused on marketing data systems.

Task: Develop a GraphQL API for querying complex relational data.

Instructions:
1. Define schema with types and relationships
2. Implement resolvers with DataLoader for N+1 problem
3. Add query complexity analysis
4. Enable query caching with Redis

Constraints:
- Node.js with Apollo Server
- PostgreSQL database
- Sub-100ms response time

Output Format: schema.js, resolvers.js, and server.js files.

Timeline: weekly
Ref: 8929-MAR",high,94,A,0.19,5,5,5,4,Actionable instructions | Incomplete background info | Detailed methodology included
104008,report,"Role: Data analyst for hospitality performance metrics.

Task: Generate monthly KPI dashboard report.

Instructions:
1. Key metrics definitions
2. Month-over-month comparisons
3. Trend analysis
4. Department breakdowns

Constraints:
- Automated data refresh
- Interactive filters
- Mobile-friendly view

Output Format: Power BI dashboard with PDF export.

Audience: investors
Ref: 8293-HOS",high,91,A,0.85,5,4,4,4,Detailed methodology included | Lacks formatting guidance
104009,report,"make report for work transportation

Ref: 5077-TRA",low,34,F,0.3,1,2,1,1,Missing glossary | Incomplete background info
104010,creative,"Working on a creative for aerospace team. Needs to be informative but not too technical. Include actionable items.

Product: healthcare interface
Audience: employees
Ref: 1710-AER",medium,76,C,0.49,3,2,4,3,Version control noted | Specific deliverables mentioned | Technical requirements clear
104011,other,"make other for work finance

Ref: 3229-FIN",low,46,F,0.88,1,1,1,1,Unclear ownership | Vague objective statement
104012,email,"Role: HR communications specialist for biotech company.

Task: Write company-wide announcement email about biotech policy changes.

Instructions:
1. Clear subject line
2. Context and rationale
3. Specific changes
4. Action items and deadlines

Constraints:
- Professional tone
- Accessibility formatting
- FAQ attachment

Output Format: HTML email with plain text version.

Company: Acme Corp
Product: biotech application
Timeline: weekly
Ref: 4482-BIO",high,88,B,0.19,5,4,5,5,Clear role definition | Comprehensive context provided | Detailed methodology included | Missing examples | Vague objective statement
104013,presentation,"presentation request: journalism focus area. Should explain concepts clearly with supporting data. Around 5-10 pages/slides.

Company: Fusion Brands
Product: insurance module
Timeline: Q3 2024
Ref: 6431-JOU",medium,73,C,0.49,3,4,3,2,No review process | Missing budget context
104014,post,"Need assistance with post for agriculture client. Key points to cover: overview, benefits, implementation. Thanks!

Audience: developers
Ref: 6821-AGR",medium,68,D,0.46,2,3,4,2,No deadline specified | Professional tone maintained | No fallback options | Detailed methodology included
104015,code,"Need assistance with code for telecommunications client. Key points to cover: overview, benefits, implementation. Thanks!

Product: aerospace product
Ref: 5877-TEL",medium,82,B,0.35,4,4,4,2,Missing budget context | Strong constraints provided | No deadline specified
104016,image,"image needed asap telecommunications

Ref: 3785-TEL",low,40,F,0.13,3,2,2,1,Inconsistent terminology | Version control noted | Actionable instructions | Missing budget context | Compliance requirements listed
104017,email,"email needed asap e-commerce

Ref: 7376-E-C",low,60,D,0.94,3,2,1,1,Incomplete background info | Clear role definition | Assumptions documented | Missing budget context | Detailed methodology included
104018,image,"Role: Professional graphic designer for pharmaceutical marketing.

Task: Create a modern logo design for a new pharmaceutical startup.

Instructions:
1. Use minimalist design principles
2. Incorporate pharmaceutical-relevant symbolism
3. Ensure scalability for all sizes
4. Provide color variations

Constraints:
- Primary colors: navy blue and gold
- Must work on dark and light backgrounds
- Vector format required

Output Format: SVG files with color palette specifications.

Company: Future Systems
Audience: board members
Ref: 6429-PHA",high,92,A,0.22,4,4,4,4,Version control noted | Missing data source | Missing budget context | No deadline specified | Measurable outcomes stated
104019,email,"Working on a email for retail team. Needs to be informative but not too technical. Include actionable items.

Timeline: next quarter
Ref: 3858-RET",medium,84,B,0.33,2,3,4,3,No deadline specified | Missing data source | Vague objective statement | Unclear ownership | Output format specified
104020,code,"Create code content for entertainment use case. Structure: problem, solution, results. Make it persuasive.

Product: manufacturing engine
Ref: 9132-ENT",medium,75,C,0.51,3,2,4,4,Missing examples | Feedback mechanism included
104021,code,"Create code content for insurance use case. Structure: problem, solution, results. Make it persuasive.

Ref: 9467-INS",medium,73,C,0.46,4,2,4,3,Feedback mechanism included | Professional tone maintained | No deadline specified | Compliance requirements listed
104022,report,"Role: Competitive intelligence analyst in energy sector.

Task: Create competitive landscape analysis report.

Instructions:
1. Market share data
2. Competitor SWOT analysis
3. Pricing comparison
4. Strategic recommendations

Constraints:
- Primary and secondary research
- Confidential handling
- Quarterly updates

Output Format: PowerPoint with supporting Excel data.

Ref: 5947-ENE",high,89,B,0.4,5,5,4,5,Actionable instructions | Well-structured sections | No risk assessment | Feedback mechanism included
104023,report,"Role: Financial analyst preparing banking market report.

Task: Create quarterly financial analysis report for banking sector.

Instructions:
1. Executive summary
2. Revenue and expense analysis
3. Variance explanations
4. Forecast and recommendations

Constraints:
- GAAP compliant
- Data visualization charts
- Risk disclosures

Output Format: Excel workbook with PowerPoint summary.

Ref: 3385-BAN",high,100,A,0.11,5,4,5,5,Stakeholders identified | Feedback mechanism included | Scope clearly defined
104024,video,"Role: Documentary filmmaker covering manufacturing topics.

Task: Produce a 10-minute documentary segment on manufacturing innovations.

Instructions:
1. Research and fact-check all content
2. Interview industry experts (3-5 people)
3. Include B-roll footage
4. Add informational graphics

Constraints:
- Broadcast quality (4K)
- Closed captions required
- Fair use compliance

Output Format: Final Cut Pro project with masters.

Product: journalism application
Ref: 9191-MAN",high,86,B,0.89,4,5,4,4,No review process | No escalation path | Inconsistent terminology | Professional tone maintained | Assumptions documented
104025,other,"Looking for a other about journalism trends. Should have introduction, main content, and conclusion. Professional tone preferred.

Company: Apex Enterprises
Product: marketing system
Audience: administrators
Ref: 8275-JOU",medium,69,D,0.34,4,4,4,4,Technical requirements clear | Clear role definition | Feedback mechanism included | No risk assessment
104026,code,"create something for agriculture using code

Audience: employees
Ref: 1926-AGR",low,23,F,0.72,2,1,2,1,Unclear ownership | Technical requirements clear | Actionable instructions | Missing data source
104027,code,"Role: Backend engineer focused on research data systems.

Task: Develop a GraphQL API for querying complex relational data.

Instructions:
1. Define schema with types and relationships
2. Implement resolvers with DataLoader for N+1 problem
3. Add query complexity analysis
4. Enable query caching with Redis

Constraints:
- Node.js with Apollo Server
- PostgreSQL database
- Sub-100ms response time

Output Format: schema.js, resolvers.js, and server.js files.

Audience: marketing team
Ref: 7240-RES",high,96,A,0.57,5,5,4,5,Actionable instructions | Comprehensive context provided | No fallback options
104028,code,"make a code about legal

Company: Nexus Group
Audience: sales team
Platform: Redis
Ref: 4966-LEG",low,58,F,0.1,3,1,1,1,Dependencies outlined | No deadline specified | No accessibility considerations
104029,image,"Role: UI/UX designer for real estate applications.

Task: Design a mobile app onboarding flow with 5 screens.

Instructions:
1. Create wireframes first, then high-fidelity mockups
2. Include progress indicators
3. Design for iOS and Android
4. Add micro-interaction specifications

Constraints:
- Follow Material Design 3 guidelines
- Accessible color contrast (4.5:1 minimum)
- Figma deliverables

Output Format: Figma file link with component library.

Company: TechStart
Timeline: Q1 2024
Ref: 9154-REA",high,99,A,0.27,5,4,4,5,No quality standards | Clear role definition
104030,data_analysis,"make a data_analysis about healthcare

Company: Innovate Inc
Timeline: ASAP
Ref: 9565-HEA",low,20,F,0.53,3,2,2,2,Detailed methodology included | Specific deliverables mentioned | No escalation path
104031,document,"Create a document about manufacturing. Include some best practices and make it professional. Should be useful for a team meeting.

Product: transportation application
Audience: managers
Ref: 8299-MAN",medium,69,D,0.42,3,2,3,3,Strong constraints provided | Lacks formatting guidance | Measurable outcomes stated | Specific deliverables mentioned | Missing budget context
104032,document,"I need a document for cybersecurity purposes. It should cover the main points and be around medium length. Please include examples if possible.

Company: Synergy Works
Product: transportation service
Ref: 3228-CYB",medium,69,D,0.48,2,3,3,2,Compliance requirements listed | Lacks success criteria | Inconsistent terminology | Missing data source
