id,task_type,prompt,quality_level,quality_score,grade,hallucination_risk,clarity,specificity,structure,constraints,decisions
5884,creative,write generate monthly sales reports thing,low,55,F,0.66,2,1,2,2,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
5885,creative,Creative content needed: write technical documentation theme for consulting publication.,medium,66,D,0.54,2,2,4,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
5886,email,message about create employee onboarding materials,low,61,D,0.61,2,1,2,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
5887,data_analysis,build data pipeline numbers,low,31,F,0.81,1,2,2,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
5888,data_analysis,Data task: analyze website traffic patterns analysis for human resources report.,medium,71,C,0.45,3,2,3,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
5889,document,Create policy on analyze website traffic patterns for environment compliance. Formal language.,medium,84,B,0.32,4,3,4,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
5890,email,"Role: Executive assistant supporting technology leadership.
Task: Write a meeting request email for create social media strategy.
Context: Scheduling with 5 senior stakeholders across time zones.
Constraints: Clear agenda, include pre-read materials list, propose 3 time slots.
Output Format: Professional email + calendar invite text + agenda outline.",high,92,A,0.17,5,5,5,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
5891,report,Report needed on build chatbot for customer support in government sector. Data-driven insights.,medium,78,C,0.36,3,4,2,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
5892,email,"Role: Professional copywriter for design communications.
Task: Write a cold outreach email for design event invitation.
Instructions: Personalized opening, clear value proposition, soft CTA.
Constraints: Under 150 words, professional but approachable tone.
Output Format: Subject line options + email body + follow-up sequence.",high,94,A,0.21,5,4,5,4,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
5893,other,design mobile app interface,low,34,F,0.72,1,1,1,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
5894,presentation,Need a deck on design e-learning course module for healthcare conference. 10 slides max.,medium,68,D,0.55,3,2,2,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
5895,report,Analyze analyze customer feedback patterns and write report for sales leadership. Include findings.,medium,82,B,0.35,3,4,4,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
5896,post,"Role: Social media manager for operations brands.
Task: Create a LinkedIn post about develop project timeline.
Instructions: Professional tone, include call-to-action, optimize for engagement.
Constraints: 300 words max, 3-5 hashtags, appropriate for B2B audience.
Output Format: Post text + hashtag suggestions + best posting time.",high,85,B,0.12,5,5,5,4,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
5897,code,Debug this: [code for design logo and brand identity] - It's for environment use case.,medium,77,C,0.41,2,3,2,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
5898,document,Create policy on generate monthly sales reports for government compliance. Formal language.,medium,81,B,0.39,3,2,2,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
5899,document,"Role: Policy writer for human resources organizations.
Task: Draft a policy document regarding develop security protocols.
Context: Must align with industry regulations and best practices.
Constraints: Formal tone, legally compliant language.
Output Format: Policy statement + scope + procedures + compliance requirements.",high,85,B,0.08,5,5,5,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
5900,email,Email needed: create user survey questions proposal for sports prospect.,medium,69,D,0.4,2,2,4,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
5901,other,Develop framework for create policy compliance guide in media environment.,medium,65,D,0.48,2,3,2,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
5902,report,Research and report on analyze product usage metrics affecting sports operations.,medium,70,C,0.46,2,2,3,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
5903,email,"Role: Customer success manager in nonprofit industry.
Task: Draft a response to a customer complaint about generate financial forecasts.
Instructions: Empathetic, solution-focused, reinforce relationship.
Constraints: Acknowledge issue, provide timeline, offer compensation if appropriate.
Output Format: Email draft + internal escalation notes.",high,93,A,0.24,5,4,5,3,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
5904,other,Plan design email newsletter template for education project. Include timeline and resources.,medium,83,B,0.44,2,2,3,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
5905,other,do create user authentication system,low,63,D,0.73,1,2,1,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
5906,video,Plan a video showing create policy compliance guide. This is for our healthcare department.,medium,66,D,0.46,3,4,4,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
5907,report,Analyze design event invitation and write report for finance leadership. Include findings.,medium,78,C,0.48,2,4,4,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
5908,code,"Role: You are an experienced science software engineer.
Task: Write a Python function to create FAQ document.
Instructions: Use clean code principles, include type hints, and add comprehensive docstrings.
Constraints: Function must handle edge cases and return appropriate error messages.
Output Format: Provide the code block followed by 2-3 usage examples.",high,91,A,0.15,4,4,5,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
5909,report,Analyze build data pipeline and write report for finance leadership. Include findings.,medium,70,C,0.34,3,4,3,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
5910,document,"Role: Technical writer specializing in technology documentation.
Task: Create a user manual section for develop mobile responsiveness fix.
Instructions: Use clear step-by-step instructions with screenshots placeholders.
Constraints: Reading level appropriate for general audience, max 10 pages.
Output Format: Structured document with headings, procedures, and troubleshooting.",high,90,A,0.1,4,4,5,5,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
5911,data_analysis,"Role: Data scientist specializing in legal analytics.
Task: Analyze a dataset to understand create budget proposal.
Input Data: CSV with columns [list will be provided]
Instructions: Clean data, perform EDA, identify patterns, test hypotheses.
Constraints: Use appropriate statistical methods, document assumptions.
Output Format: Analysis plan + code + visualizations + interpretation.",high,92,A,0.22,5,5,5,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
5912,post,"Role: Social media manager for real estate brands.
Task: Create a LinkedIn post about create employee onboarding materials.
Instructions: Professional tone, include call-to-action, optimize for engagement.
Constraints: 300 words max, 3-5 hashtags, appropriate for B2B audience.
Output Format: Post text + hashtag suggestions + best posting time.",high,86,B,0.11,4,4,4,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
5913,report,findings on develop project timeline,low,30,F,0.72,2,1,2,2,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
5914,video,Make a video about develop project timeline for retail training. Keep it under 5 minutes.,medium,70,C,0.39,3,4,2,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
5915,image,Create an image of create FAQ document for government purposes. Make it look professional.,medium,65,D,0.39,2,3,2,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
5916,document,"Role: Grant writer for technology nonprofits.
Task: Write a proposal section describing implement payment processing.
Instructions: Emphasize impact, include measurable outcomes.
Constraints: Follow funder's format requirements, 5-page limit.
Output Format: Narrative section with supporting data and budget justification.",high,88,B,0.13,4,4,5,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
5917,report,Summarize design e-learning course module for environment annual review. Executive summary style.,medium,71,C,0.31,4,2,2,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
5918,data_analysis,"Role: Research analyst in product management field.
Task: Perform comparative analysis of develop mobile responsiveness fix.
Context: Comparing 3 different approaches/methods over 12-month period.
Constraints: Control for variables, note limitations, statistical rigor.
Output Format: Methodology + comparison table + statistical tests + conclusions.",high,87,B,0.18,4,4,5,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
5919,video,Script needed for write job description video. Educational content for research beginners.,medium,73,C,0.52,2,2,4,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
5920,presentation,Need a deck on analyze website traffic patterns for energy conference. 10 slides max.,medium,65,D,0.31,4,4,2,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
5921,presentation,"Role: Sales enablement specialist in engineering sector.
Task: Build a pitch deck for build dashboard for KPI tracking.
Context: Presenting to C-level executives at Fortune 500 company.
Constraints: 8 slides max, focus on ROI and business impact.
Output Format: Slide-by-slide content with key messages and visual suggestions.",high,89,B,0.07,4,4,4,4,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
5922,email,Write email about create crisis management protocol to technology client. Professional tone.,medium,74,C,0.44,2,3,2,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
5923,email,Compose response about design mobile app interface for nonprofit inquiry.,medium,76,C,0.33,4,3,4,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
5924,other,Plan analyze employee satisfaction data for nonprofit project. Include timeline and resources.,medium,75,C,0.39,4,4,2,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
5925,presentation,Need a deck on create competitor analysis for sports conference. 10 slides max.,medium,70,C,0.5,2,2,2,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
5926,presentation,presentation about design event invitation,low,45,F,0.7,2,2,1,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
5927,post,"Role: Content creator for government communities.
Task: Write a Twitter thread about develop project timeline.
Instructions: Hook in first tweet, educational content, strong conclusion.
Constraints: 8-10 tweets, each under 280 characters.
Output Format: Full thread with engagement prompts for each tweet.",high,97,A,0.22,5,5,5,4,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
5928,creative,"Role: Brand storyteller for operations companies.
Task: Create a brand origin story about develop risk assessment framework.
Instructions: Emotional connection, highlight values, memorable narrative.
Constraints: 400 words, authentic voice, avoid clichés.
Output Format: Narrative story + key themes + usage guidelines.",high,95,A,0.06,4,5,5,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
5929,image,design logo and brand identity visual,low,47,F,0.89,1,2,1,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
5930,report,Summarize build dashboard for KPI tracking for retail annual review. Executive summary style.,medium,80,B,0.54,3,2,4,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
5931,presentation,deck for analyze market trends,low,31,F,0.73,2,2,2,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
5932,email,Draft message regarding design marketing campaign visuals for real estate team. Clear and concise.,medium,74,C,0.51,2,2,3,3,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
5933,other,"Role: Strategy consultant for technology organizations.
Task: Develop a strategic recommendation for write executive briefing.
Context: Company facing competitive pressure, needs transformation.
Constraints: 3-year horizon, feasible implementation, measurable outcomes.
Output Format: Situation analysis + options + recommendation + implementation roadmap.",high,98,A,0.19,5,5,5,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
5934,post,Create content about analyze product usage metrics for engineering blog. Informative but casual.,medium,68,D,0.37,3,2,3,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
5935,email,Email needed: design e-learning course module proposal for transportation prospect.,medium,69,D,0.51,2,2,3,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
5936,creative,Create story featuring analyze customer feedback patterns for nonprofit audience. 500 words.,medium,80,B,0.47,2,4,2,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
5937,report,"Role: Market researcher focusing on education trends.
Task: Analyze and report on build recommendation engine.
Context: Based on survey data from 500 respondents.
Constraints: Include statistical significance, avoid speculation.
Output Format: Methodology + findings + charts description + conclusions.",high,97,A,0.06,5,4,5,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
5938,other,"Role: Project manager for environment initiatives.
Task: Create a project plan for create employee onboarding materials.
Instructions: Define scope, milestones, resources, risks.
Constraints: 6-month timeline, budget constraints, 5-person team.
Output Format: Project charter + WBS + timeline + risk register.",high,85,B,0.24,5,5,4,3,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
5939,code,"Role: Senior developer specializing in manufacturing systems.
Task: Debug and optimize the following code that build API integration.
Input Data: [code snippet will be provided]
Instructions: Identify bugs, explain issues, and provide corrected optimized version.
Constraints: Maintain backward compatibility.
Output Format: Bug analysis table + corrected code.",high,86,B,0.14,4,5,4,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
5940,data_analysis,Review write job description metrics for research performance. Find trends.,medium,82,B,0.47,3,3,3,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
5941,data_analysis,"Role: Business intelligence analyst for retail operations.
Task: Create a dashboard specification for tracking build chatbot for customer support.
Instructions: Identify KPIs, design layout, specify data sources.
Constraints: Real-time updates, mobile-responsive, executive-friendly.
Output Format: Dashboard mockup description + metric definitions + technical requirements.",high,89,B,0.2,4,4,4,4,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
5942,image,"Role: Digital artist with expertise in media imagery.
Task: Generate a series of 5 images showing design event invitation.
Context: These will be used in a training presentation for new employees.
Constraints: Consistent style across all images, appropriate for corporate use.
Output Format: Description for each image with style specifications.",high,90,A,0.18,4,5,5,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
5943,document,Write documentation for create investor pitch materials in design setting. Clear and thorough.,medium,82,B,0.41,3,2,2,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
5944,other,Plan analyze customer feedback patterns for real estate project. Include timeline and resources.,medium,72,C,0.53,3,2,4,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
5945,report,Analyze create social media strategy and write report for transportation leadership. Include findings.,medium,82,B,0.39,4,2,2,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
5946,presentation,Need a deck on build automated testing suite for research conference. 10 slides max.,medium,84,B,0.49,2,4,2,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
5947,document,"Role: Technical writer specializing in technology documentation.
Task: Create a user manual section for implement payment processing.
Instructions: Use clear step-by-step instructions with screenshots placeholders.
Constraints: Reading level appropriate for general audience, max 10 pages.
Output Format: Structured document with headings, procedures, and troubleshooting.",high,88,B,0.23,4,4,4,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
5948,image,draw create policy compliance guide,low,54,F,0.75,2,1,1,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
5949,other,Develop framework for analyze employee satisfaction data in entertainment environment.,medium,75,C,0.36,4,3,3,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
5950,post,Draft announcement about build automated testing suite for government community.,medium,65,D,0.54,4,3,2,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
5951,email,Email needed: create crisis management protocol proposal for human resources prospect.,medium,82,B,0.47,4,4,4,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
5952,email,reply to design marketing campaign visuals,low,38,F,0.61,1,1,2,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
5953,image,I need visuals showing implement payment processing. These are for a healthcare presentation.,medium,65,D,0.47,2,4,2,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
5954,code,Debug this: [code for generate financial forecasts] - It's for product management use case.,medium,81,B,0.33,2,4,4,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
5955,video,make create training video content video,low,39,F,0.7,2,2,1,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
5956,video,"Role: Educational video scriptwriter focusing on human resources.
Task: Write a script for an instructional video explaining implement payment processing.
Context: Target audience is beginners with no prior knowledge.
Constraints: Maximum 5 minutes, simple language, include visual cues.
Output Format: Two-column script (visual | audio) with timing markers.",high,97,A,0.1,4,5,5,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
5957,creative,Create story featuring create policy compliance guide for design audience. 500 words.,medium,66,D,0.34,4,4,2,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
5958,document,"Role: Policy writer for science organizations.
Task: Draft a policy document regarding design e-learning course module.
Context: Must align with industry regulations and best practices.
Constraints: Formal tone, legally compliant language.
Output Format: Policy statement + scope + procedures + compliance requirements.",high,88,B,0.24,4,5,5,3,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
5959,email,Draft message regarding create FAQ document for design team. Clear and concise.,medium,74,C,0.43,3,3,3,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
5960,code,code for analyze customer feedback patterns,low,39,F,0.89,2,1,2,2,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
5961,code,Write code to create training video content for a product management application. Make sure it works well and handles errors.,medium,70,C,0.45,2,4,2,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
5962,presentation,Slides needed: develop content calendar overview for finance team meeting.,medium,65,D,0.33,4,4,4,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
5963,image,Create an image of optimize database queries for manufacturing purposes. Make it look professional.,medium,82,B,0.52,2,4,4,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
5964,creative,"Role: Creative writer specializing in nonprofit narratives.
Task: Write a short story opening (500 words) about create training video content.
Instructions: Establish compelling protagonist, hint at conflict, set tone.
Constraints: Third-person limited perspective, contemporary setting.
Output Format: Story excerpt + character brief + potential plot directions.",high,98,A,0.1,5,4,4,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
5965,data_analysis,"Role: Data scientist specializing in operations analytics.
Task: Analyze a dataset to understand develop content calendar.
Input Data: CSV with columns [list will be provided]
Instructions: Clean data, perform EDA, identify patterns, test hypotheses.
Constraints: Use appropriate statistical methods, document assumptions.
Output Format: Analysis plan + code + visualizations + interpretation.",high,95,A,0.21,4,5,4,5,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
5966,video,Script needed for build dashboard for KPI tracking video. Educational content for sports beginners.,medium,75,C,0.48,3,4,3,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
5967,code,fix my code about analyze customer feedback patterns,low,29,F,0.6,1,2,2,1,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
5968,data_analysis,data create user authentication system,low,31,F,0.81,1,2,1,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
5969,report,report build chatbot for customer support,low,64,D,0.85,1,1,2,2,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
5970,other,"Role: Project manager for human resources initiatives.
Task: Create a project plan for develop project timeline.
Instructions: Define scope, milestones, resources, risks.
Constraints: 6-month timeline, budget constraints, 5-person team.
Output Format: Project charter + WBS + timeline + risk register.",high,85,B,0.15,4,5,5,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
5971,other,create user survey questions plan,low,31,F,0.72,2,2,2,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
5972,data_analysis,data create user authentication system,low,42,F,0.65,2,2,1,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
5973,report,analyze churn rate factors review,low,31,F,0.87,1,1,1,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
5974,other,Outline approach to build dashboard for KPI tracking for science initiative.,medium,84,B,0.36,3,4,3,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
5975,post,write build chatbot for customer support update,low,52,F,0.69,2,2,1,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
5976,creative,"Role: Creative writer specializing in education narratives.
Task: Write a short story opening (500 words) about generate financial forecasts.
Instructions: Establish compelling protagonist, hint at conflict, set tone.
Constraints: Third-person limited perspective, contemporary setting.
Output Format: Story excerpt + character brief + potential plot directions.",high,94,A,0.06,4,5,5,4,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
5977,code,Write code to analyze market trends for a engineering application. Make sure it works well and handles errors.,medium,66,D,0.45,3,3,4,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
5978,post,Create content about develop risk assessment framework for environment blog. Informative but casual.,medium,83,B,0.39,3,4,3,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
5979,data_analysis,"Role: Data scientist specializing in hospitality analytics.
Task: Analyze a dataset to understand create crisis management protocol.
Input Data: CSV with columns [list will be provided]
Instructions: Clean data, perform EDA, identify patterns, test hypotheses.
Constraints: Use appropriate statistical methods, document assumptions.
Output Format: Analysis plan + code + visualizations + interpretation.",high,92,A,0.2,4,4,4,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
5980,report,"Role: Market researcher focusing on marketing trends.
Task: Analyze and report on implement payment processing.
Context: Based on survey data from 500 respondents.
Constraints: Include statistical significance, avoid speculation.
Output Format: Methodology + findings + charts description + conclusions.",high,87,B,0.15,5,5,5,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
5981,post,Post needed: analyze supply chain efficiency update for real estate followers.,medium,83,B,0.34,3,2,3,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
5982,video,"Role: Educational video scriptwriter focusing on human resources.
Task: Write a script for an instructional video explaining build API integration.
Context: Target audience is beginners with no prior knowledge.
Constraints: Maximum 5 minutes, simple language, include visual cues.
Output Format: Two-column script (visual | audio) with timing markers.",high,92,A,0.15,4,4,5,5,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
5983,presentation,"Role: Executive presentation designer for customer service consulting.
Task: Create a 12-slide deck about design mobile app interface.
Instructions: Use data-driven storytelling, include compelling visuals.
Constraints: Each slide max 6 bullet points, consistent branding.
Output Format: Slide outline with content for each slide + speaker notes.",high,85,B,0.06,5,4,5,4,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
5984,report,Report needed on analyze supply chain efficiency in design sector. Data-driven insights.,medium,84,B,0.35,4,3,4,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
5985,presentation,deck for build API integration,low,44,F,0.77,2,1,2,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
5986,image,"Role: Professional graphic designer specializing in real estate visuals.
Task: Create an image depicting build data pipeline.
Instructions: Use modern design principles with attention to color psychology.
Constraints: Must be suitable for professional presentation, 16:9 aspect ratio.
Output Format: Detailed image description including composition, colors, and mood.",high,93,A,0.15,5,5,4,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
5987,presentation,"Role: Executive presentation designer for hospitality consulting.
Task: Create a 12-slide deck about write customer case study.
Instructions: Use data-driven storytelling, include compelling visuals.
Constraints: Each slide max 6 bullet points, consistent branding.
Output Format: Slide outline with content for each slide + speaker notes.",high,87,B,0.22,5,5,5,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
5988,creative,"Role: Scriptwriter for human resources entertainment.
Task: Write dialogue for a scene where create training video content.
Instructions: Reveal character through action and speech, subtext important.
Constraints: 2 characters, 2-page max, natural speech patterns.
Output Format: Scene heading + character dialogue + brief stage directions.",high,86,B,0.22,5,4,4,4,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
5989,creative,story develop project timeline,low,28,F,0.63,1,1,1,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
5990,post,"Role: Social media manager for sales brands.
Task: Create a LinkedIn post about develop mobile responsiveness fix.
Instructions: Professional tone, include call-to-action, optimize for engagement.
Constraints: 300 words max, 3-5 hashtags, appropriate for B2B audience.
Output Format: Post text + hashtag suggestions + best posting time.",high,90,A,0.16,4,5,5,4,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
5991,email,email design marketing campaign visuals,low,26,F,0.9,1,1,1,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
5992,other,create crisis management protocol plan,low,53,F,0.64,2,2,2,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
5993,image,Generate images about develop project timeline. Use appropriate colors for engineering industry.,medium,77,C,0.3,3,3,4,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
5994,image,Design something for build recommendation engine. Should be modern and appealing for strategy audience.,medium,75,C,0.43,3,2,3,3,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
5995,presentation,generate financial forecasts talk slides,low,34,F,0.88,1,1,1,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
5996,image,picture of analyze website traffic patterns,low,64,D,0.75,1,1,1,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
5997,report,Analyze generate monthly sales reports and write report for media leadership. Include findings.,medium,80,B,0.39,2,3,2,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
5998,email,reply to design logo and brand identity,low,60,D,0.69,1,1,1,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
5999,creative,"Role: Brand storyteller for real estate companies.
Task: Create a brand origin story about write technical documentation.
Instructions: Emotional connection, highlight values, memorable narrative.
Constraints: 400 words, authentic voice, avoid clichés.
Output Format: Narrative story + key themes + usage guidelines.",high,92,A,0.1,4,5,4,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
6000,code,"Role: You are an experienced energy software engineer.
Task: Write a Python function to develop quality assurance checklist.
Instructions: Use clean code principles, include type hints, and add comprehensive docstrings.
Constraints: Function must handle edge cases and return appropriate error messages.
Output Format: Provide the code block followed by 2-3 usage examples.",high,95,A,0.24,5,5,4,4,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
6001,report,"Role: Market researcher focusing on healthcare trends.
Task: Analyze and report on create user authentication system.
Context: Based on survey data from 500 respondents.
Constraints: Include statistical significance, avoid speculation.
Output Format: Methodology + findings + charts description + conclusions.",high,86,B,0.21,5,5,5,3,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
6002,video,"Role: Professional video producer for research content.
Task: Create a storyboard for a 3-minute video about design marketing campaign visuals.
Instructions: Include shot composition, transitions, and pacing notes.
Constraints: Must be engaging for social media, include captions.
Output Format: Scene-by-scene breakdown with timing and visual/audio elements.",high,87,B,0.2,4,5,4,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
6003,post,Create content about write product launch announcement for hospitality blog. Informative but casual.,medium,72,C,0.51,4,4,3,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
6004,report,"Role: Compliance auditor for real estate operations.
Task: Prepare an audit report on build data pipeline.
Instructions: Document findings with evidence, rate risk levels.
Constraints: Objective tone, cite specific standards/regulations.
Output Format: Executive summary + detailed findings + risk matrix + action items.",high,96,A,0.15,4,4,5,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
